VIN,Date Time,Odometer,Miles Driven,Fuel Type,Units,Price Per Unit,Total Amount,Non-Fuel Transaction
1N6AF0KY3DN110875,7/11/2022,"182,075",169,Regular,22,$4.80,$105.58,No
1N6AF0KY3DN110875,7/12/2022,"182,339",264,Regular,20,$4.80,$97.48,No
1N6AF0KY3DN110875,7/13/2022,"12,054",143,Regular,12,$4.70,$58.37,No
149149,7/14/2022,"185,361",332,Premium,13,$5.73,$75.09,No
149149,7/6/2022,"184,708",374,Regular,14,$5.00,$69.87,No
149149,7/1/2022,"184,334",378,Regular,14,$4.76,$68.30,No
5TDKK3DC4DS285796,7/5/2022,"155,536",347,Regular,17,$4.49,$76.69,No
,,,,,,,,
2C4RDGBG0GR262969,7/11/2022,"188,140",346,Regular,16,$4.20,$67.28,No
2C4RDGBG0GR262969,7/5/2022,"187,289",302,Regular,14,$4.60,$64.47,No
2C4RDGBG6GR243343,7/13/2022,"17,000",330,Regular,13,$4.00,$53.20,No
2C4RDGBG6GR243343,7/11/2022,"170,000",395,Regular,16,$4.04,$64.34,No
2C4RDGBG6GR243343,7/5/2022,"165,000",402,Regular,16,$4.26,$69.15,No
1GTZ7GFG1G1208926,7/13/2022,"175,976",467,Regular,28,$4.54,$125.63,No
1GTZ7GFG1G1208926,7/11/2022,"175,898",898,Regular,27,$4.63,$125.83,No
1GTZ7GFG1G1208926,7/6/2022,"175,000",392,Regular,28,$4.80,$133.54,No
2A4RR5D16AR193463,7/7/2022,"97,584",266,Regular,14,$4.70,$65.90,No
2C4RDGBG7JR182219,7/12/2022,"97,698",317,Regular,16,$4.50,$73.77,No
2C4RDGBG7JR182219,7/6/2022,"97,381",326,Regular,17,$4.57,$77.90,No
2C4RDGBG3JR160878,7/11/2022,0,423,Regular,19,$4.10,$78.19,No
,,,,,,,,
2C4RDGBG3JR160878,7/7/2022,"151,748",392,Regular,18,$4.26,$75.30,No
2C4RDGBG3JR160878,7/5/2022,"151,356",220,Regular,13,$4.50,$59.39,No
NM0LE6E77E1155229,7/13/2022,"109,954",242,Regular,9,$4.70,$41.01,No
NM0LE6E77E1155229,7/11/2022,"158,229",248,Regular,9,$4.76,$42.62,No
NM0LE6E77E1155229,7/8/2022,"158,229",160,Regular,6,$4.76,$27.53,No
NM0LE6E77E1155229,7/6/2022,"109,291",176,Regular,6,$4.80,$30.01,No
NM0LE6E77E1155229,7/5/2022,"109,115",137,Regular,6,$4.87,$28.32,No
5TDKK3DC4DS285796,7/8/2022,"155,908",372,Regular,17,$4.10,$69.84,No
5TDKK3DC4DS285796,7/13/2022,"156,272",364,Regular,17,$4.27,$72.64,No
2C4RC1BG3GR291558,7/14/2022,"182,370",306,Regular,13,$4.40,$58.59,No
2C4RC1BG3GR291558,7/11/2022,"182,064",291,Regular,19,$4.58,$84.70,No
1GTN2TEC3EZ321814,7/5/2022,"169,207",436,Regular,20,$4.85,$98.68,No
1GTN2TEC3EZ321814,7/8/2022,"169,678",471,Regular,22,$4.74,$105.76,No
1GTN2TEC3EZ321814,7/13/2022,"170,139",461,Regular,21,$4.56,$93.85,No
2C4RDGBG5GR325063,7/1/2022,"92,346",375,Regular,18,$4.40,$78.65,No
2C4RDGBG5GR325063,7/7/2022,"92,631",285,Regular,15,$4.30,$65.88,No
1GCWGAFF0H1352752,7/1/2022,"140,268",462,Regular,30,$4.86,$144.81,No
1GCWGAFF0H1352752,7/8/2022,"140,708",440,Regular,10,$4.66,$46.90,No
1GCWGAFF0H1352752,7/8/2022,"140,871",486,Regular,28,$4.20,$119.08,No
1GCWGAFF0H1352752,7/13/2022,"141,131",260,Regular,17,$4.30,$74.75,No
1GCWGAFF0H1352847,7/5/2022,"88,126",366,Regular,23,$4.35,$102.10,No
1GCWGAFF0H1352847,7/6/2022,"88,355",229,Regular,14,$4.50,$62.29,No
1GCWGAFF0H1352847,7/11/2022,"88,703",348,Regular,22,$4.26,$91.87,No
1N4BL4DV9MN410730,7/14/2022,"10,919",363,Regular,12,$6.00,$73.42,No
1FTYR1YM6KKB35125,7/8/2022,"50,085",305,Regular,22,$6.20,$133.63,No
1FTYR1YM6KKB35125,7/13/2022,"22,695",328,Regular,23,$6.10,$141.21,No
1FTYR1ZMXKKB49947,7/6/2022,"39,916",286,Regular,18,$4.29,$77.00,No
1FTYR1ZMXKKB49947,7/8/2022,"40,272",356,Regular,21,$4.15,$86.00,No
1FTYR1ZMXKKB49947,7/12/2022,"40,611",339,Regular,20,$4.00,$79.01,No
1FTYR1ZM8KKB34797,7/5/2022,"29,245",276,Regular,18,$4.16,$75.00,No
1FTYR1ZM8KKB34797,7/7/2022,"29,561",316,Regular,21,$4.10,$88.01,No
1FTYR1ZM8KKB34797,7/12/2022,"29,914",353,Regular,22,$4.29,$93.00,No
5TDZK3DC5DS381094,7/1/2022,"102,416",283,Regular,14,$4.49,$63.08,No
5TDZK3DC5DS381094,7/6/2022,"102,769",353,Regular,15,$4.38,$65.69,No
5TDZK3DC5DS381094,7/12/2022,"103,078",309,Regular,15,$4.40,$66.08,No
NM0LS6E20L1439702,7/1/2022,"69,754",206,Regular,7,$4.38,$31.87,No
NM0LS6E20L1439702,7/8/2022,"69,995",241,Regular,8,$4.34,$36.61,No
NM0LS6E20L1439702,7/12/2022,0,235,Regular,8,$4.10,$34.67,No
NM0LS6E24L1447026,7/2/2022,"54,845",346,Premium,13,$4.44,$55.56,No
NM0LS6E24L1447026,7/5/2022,"55,146",301,Regular,11,$4.43,$49.12,No
NM0LS6E24L1447026,7/6/2022,0,363,Regular,13,$4.40,$57.68,No
NM0LS6E24L1447026,7/10/2022,"55,773",244,Regular,9,$4.34,$38.23,No
1N4BL4DV9MN410730,7/11/2022,"10,556",323,Regular,12,$6.20,$74.69,No
1FTYR1ZMXKKB49947,7/1/2022,"39,630",336,Regular,20,$4.50,$90.01,No
1FTYR1YM7KKB50989,7/5/2022,"39,053",355,Regular,21,$4.19,$86.28,No
1FTYR1YM7KKB50989,7/6/2022,"39,433",380,Regular,12,$4.20,$50.00,No
1FTYR1YM7KKB50989,7/7/2022,"39,592",159,Regular,20,$4.26,$83.14,No
1FTYR1YM7KKB50989,7/11/2022,"39,922",330,Regular,19,$4.20,$80.15,No
1FTYR1YM7KKB50989,7/14/2022,"40,256",334,Regular,20,$3.95,$77.33,No
1FTYR1YM6KKB35125,7/6/2022,"22,346",294,Regular,21,$6.30,$130.87,No
1FTYR1ZM0KKB02040,7/1/2022,"30,400",370,Regular,21,$4.68,$100.00,No
,,,,,,,,
1FTYR1ZM0KKB02040,7/7/2022,"30,970",380,Regular,22,$4.60,$103.01,No
1FTYR1ZM0KKB02040,7/8/2022,"31,345",375,Regular,23,$4.20,$98.00,No
1FTYR1ZM0KKB02040,7/13/2022,"31,700",355,Regular,24,$4.26,$103.00,No
1FTYR1ZM0KKB02040,7/14/2022,"32,080",380,Regular,22,$4.08,$90.00,No
2C4RC1DG4MR558134,7/5/2022,"7,372",271,Regular,16,$5.08,$83.00,No
2C4RC1DG4MR558134,7/11/2022,"7,624",252,Regular,15,$4.95,$75.50,No
3C6LRVBG9ME584364,7/1/2022,"8,111",369,Regular,22,$4.40,$96.22,No
3C6LRVBG9ME584364,7/12/2022,"8,430",319,Regular,20,$4.28,$85.23,No
3C6LRVBG9NE102235,7/14/2022,"14,332",403,Regular,20,$4.30,$85.52,No
3C6LRVBG4NE102238,7/1/2022,"11,480",341,Regular,19,$4.50,$87.57,No
3C6LRVBG4NE102238,7/11/2022,"11,700",220,Regular,13,$4.36,$57.25,No
W1YV0BEY3N3957692,7/1/2022,0,0,Premium,7,$5.46,$37.20,No
W1YV0BEY3N3957692,7/6/2022,0,0,Premium,11,$5.23,$57.23,No
W1YV0BEY3N3957692,7/7/2022,0,0,Premium,15,$5.13,$77.97,No
2C4RC1DG5MR586704,7/6/2022,"10,779",347,Regular,14,$4.86,$67.94,No
W1YV0BEY3N3957692,7/8/2022,0,0,Premium,10,$5.13,$48.75,No
W1YV0BEY3N3957692,7/11/2022,0,0,Premium,16,$5.10,$81.19,No
3C6LRVBG9NE102235,7/1/2022,"13,638",361,Regular,19,$4.86,$94.50,No
3C6LRVBG9NE102235,7/12/2022,"13,929",291,Regular,15,$4.42,$67.85,No
2C4RC1DG5MR586704,7/13/2022,"11,168",389,Regular,16,$4.66,$76.80,No
,,,,,,,,
,,,,,,,,
2C4RC1DG3MR601846,7/1/2022,"9,583",387,Regular,17,$4.57,$79.35,No
2C4RC1DG3MR601846,7/11/2022,"9,936",353,Regular,16,$4.80,$75.81,No
1FTYR1ZM5KKB34465,7/1/2022,"32,657",239,Regular,19,$4.60,$86.00,No
,,,,,,,,
1FTYR1ZM5KKB34465,7/8/2022,"32,887",230,Regular,22,$4.44,$99.00,No
1FTYR1ZM5KKB34465,7/13/2022,"33,159",272,Regular,23,$4.30,$98.16,No
1N4BL4DV2MN413291,7/8/2022,"12,747",494,Regular,13,$4.35,$57.47,No
1N4BL4DV6MN410703,7/5/2022,"5,555",216,Regular,13,$6.20,$80.11,No
1N4BL4DV6MN410703,7/12/2022,"5,555",275,Regular,16,$6.16,$101.54,No
1FTYR1ZM3KKB21438,7/8/2022,"28,035",383,Regular,21,$4.70,$99.14,No
1FMCU9G60NUA75535,7/5/2022,"5,646",442,Regular,13,$4.80,$62.70,No
1FMCU9G60NUA75535,7/12/2022,"6,122",476,Regular,15,$4.66,$67.69,No
1FMCU9G63NUA75433,7/5/2022,"50,925",459,Regular,14,$4.83,$70.00,No
1FMCU9G63NUA75433,7/11/2022,"5,547",466,Regular,15,$4.62,$67.96,No
WD3PF0CD7HP532581,7/1/2022,"145,549",362,Diesel,21,$6.00,$124.76,No
WD3PF0CD7HP532581,7/7/2022,"145,859",310,Diesel,18,$5.80,$103.51,No
WD3PF0CD7HP532581,7/11/2022,"146,154",295,Diesel,17,$5.80,$100.61,No
1N4BL4DV9MN404524,7/8/2022,"10,268",467,Regular,15,$5.00,$72.67,No
1N4BL4DV9MN404524,7/14/2022,"10,777",509,Regular,12,$4.70,$57.29,No
1N6BF0KM0GN803358,7/1/2022,"82,219",278,Regular,19,$4.32,$84.15,No
,,,,,,,,
,,,,,,,,
1N6BF0KM0GN803358,7/13/2022,"82,428",262,Regular,18,$4.55,$80.00,No
WD3PE7CD4HP542027,7/5/2022,"111,807",230,Diesel,13,$6.35,$82.03,No
WD3PE7CD4HP542027,7/12/2022,"112,122",315,Diesel,15,$6.15,$92.20,No
1N6BF0KY1GN800374,7/8/2022,"143,368",276,Regular,18,$4.70,$84.60,No
1N6BF0KY1GN800374,7/14/2022,"143,738",81,Regular,6,$4.44,$25.00,No
1N6BF0KM5GN809267,7/13/2022,"85,342",747,Regular,23,$4.60,$106.55,No
3N6CM0KNXJK691636,7/14/2022,"81,311",282,Regular,11,$4.86,$55.52,No
3N6CM0KN2GK700208,7/11/2022,0,319,Regular,13,$4.15,$55.01,No
1N6BF0KM7GN811537,7/7/2022,"58,018",247,Regular,17,$4.76,$81.14,No
1N6BF0KM3GN811552,7/1/2022,"86,553",304,Regular,24,$6.24,$149.98,No
1N6BF0KM5GN809267,7/6/2022,"84,246",434,Regular,24,$4.70,$110.62,No
1N6BF0KM5GN809267,7/8/2022,"84,595",349,Regular,23,$4.40,$100.20,No
2C4RDGBG1HR568404,7/5/2022,"116,986",324,Premium,13,$5.20,$69.68,No
2C4RDGBG1HR568404,7/12/2022,"117,336",350,Premium,15,$5.24,$80.92,No
,,,,,,,,
2D8HN11E59R624370,7/11/2022,"91,286",387,Regular,16,$6.20,$100.00,No
2D8HN11E59R624370,7/13/2022,"91,582",296,Regular,21,$6.40,$131.56,No
2D8HN11E59R643551,7/1/2022,"76,136",304,Regular,18,$4.35,$77.17,No
2C4RDGBG3HR651848,7/7/2022,"123,777",399,Regular,19,$4.32,$81.22,No
2C4RDGBG5HR651849,7/6/2022,"68,260",469,Regular,19,$4.40,$83.75,No
1FDWE3FLXGDC16838,7/5/2022,"85,719",320,Regular,26,$4.76,$125.70,No
1FDWE3FLXGDC16838,7/7/2022,"86,007",288,Regular,23,$4.70,$108.76,No
1FDWE3FLXGDC16838,7/12/2022,"86,292",285,Regular,24,$4.55,$109.24,No
2C4RDGBG9HR650249,7/6/2022,"94,036",539,Regular,20,$4.76,$93.05,No
1N6BF0KM3GN807159,7/5/2022,"113,796",201,Regular,12,$4.75,$57.65,No
1N6BF0KM3GN807159,7/13/2022,"114,092",296,Regular,18,$4.55,$82.70,No
1N6BF0KM3GN807159,7/14/2022,"114,347",255,Regular,10,$4.55,$45.65,No
2C4RDGBG1HR586787,7/5/2022,"141,236",780,Regular,18,$4.90,$89.52,No
2C4RDGBG1HR586787,7/9/2022,"140,466",387,Regular,18,$4.94,$88.47,No
2C4RDGBG1HR586787,7/13/2022,"14,058",386,Regular,18,$4.76,$85.03,No
2C4RDGBG5HR650247,7/12/2022,"130,751",396,Regular,18,$4.63,$81.82,No
2C4RDGBG7HR650248,7/5/2022,"131,917",361,Regular,18,$4.66,$81.77,No
2C4RDGBG7HR650248,7/7/2022,"132,285",368,Regular,15,$4.90,$74.51,No
2C4RDGBG7HR650248,7/11/2022,"132,588",303,Regular,12,$4.66,$56.02,No
1N6BF0KY7GN813470,7/12/2022,"144,803",144,Regular,11,$4.64,$50.01,No
3N6CM0KN3HK697286,7/6/2022,"108,317",221,Regular,10,$4.40,$43.13,No
1N6BF0KY7HN800414,7/1/2022,"193,231",288,Regular,18,$4.86,$87.63,No
1N6BF0KY7HN800414,7/6/2022,"193,573",342,Regular,21,$4.50,$95.17,No
1N6BF0KY7HN800414,7/8/2022,"193,793",220,Regular,13,$4.21,$54.82,No
1N6BF0KY7HN800414,7/13/2022,"194,188",395,Regular,24,$4.50,$107.33,No
1N6BF0KY7HN800414,7/14/2022,"194,188",226,Regular,14,$4.34,$61.48,No
2C4RDGBG8GR258653,7/11/2022,"89,587",213,Regular,17,$6.00,$100.11,No
2C4RDGBG7HR630453,7/5/2022,"95,608",341,Regular,18,$4.86,$87.22,No
KL4CJ2SM9GB725837,7/11/2022,"46,113",320,Regular,12,$4.57,$52.84,No
1N6BF0LY7GN812222,7/6/2022,"83,636",278,Regular,24,$4.70,$112.82,No
2C4RDGBG7HR630453,7/8/2022,"95,890",282,Regular,18,$4.90,$88.78,No
1N6BF0LY7GN812222,7/12/2022,"83,925",289,Regular,23,$4.39,$99.92,No
1N6BF0LY9GN814506,7/1/2022,"70,551",195,Regular,24,$5.00,$121.52,No
1N6BF0LY9GN814506,7/1/2022,"70,700",149,Regular,16,$5.00,$78.48,No
1N6BF0LY9GN814506,7/4/2022,"70,156",177,Regular,14,$4.86,$70.01,No
1N6BF0LY9GN814506,7/6/2022,"70,800",644,Regular,26,$5.00,$127.83,No
1N6BF0LY9GN814506,7/8/2022,"70,960",309,Regular,25,$5.00,$125.45,No
,,,,,,,,
1N6BF0LY9GN814506,7/9/2022,"70,756",123,Regular,10,$5.00,$50.00,No
1N6BF0LY9GN814506,7/11/2022,"71,106",350,Regular,19,$4.52,$86.81,No
1N6BF0LY9GN814506,7/13/2022,"70,596",297,Regular,24,$5.00,$120.70,No
1N6BF0KY7GN813470,7/6/2022,"144,659",222,Regular,15,$4.70,$70.00,No
2C4RDGBG7HR630453,7/13/2022,"96,315",425,Regular,18,$4.69,$86.44,No
3N6CM0KNXHK715847,7/13/2022,"103,044",315,Regular,11,$4.75,$54.15,No
3N6CM0KN9HK717881,7/2/2022,"6,258",261,Regular,12,$4.90,$56.78,No
3N6CM0KN9HK717881,7/12/2022,"62,650",207,Regular,9,$4.90,$45.00,No
3N6CM0KNXHK715847,7/7/2022,2,327,Regular,12,$4.68,$55.46,No
3N6CM0KN7HK700884,7/1/2022,"120,209",260,Regular,13,$4.16,$52.86,No
3N6CM0KN7HK700884,7/12/2022,"120,451",242,Regular,11,$3.80,$41.31,No
3N6CM0KN7HK700884,7/14/2022,"111,111",669,Regular,27,$3.97,$107.24,No
5TDKK3DC5GS752986,7/1/2022,"135,297",386,Regular,17,$4.60,$77.24,No
5TDKK3DC5GS752986,7/6/2022,"135,567",270,Regular,13,$4.86,$63.09,No
5TDKK3DC5GS752986,7/7/2022,"135,945",378,Regular,18,$4.46,$78.55,No
5TDKK3DC5GS752986,7/12/2022,"136,292",347,Regular,17,$4.40,$74.83,No
1N6BF0KY0HN805230,7/14/2022,"118,241",196,Regular,15,$4.20,$62.36,No
1N6BF0KM8GN816813,7/5/2022,"156,064",294,Regular,22,$4.66,$103.00,No
1N6BF0KM8GN816813,7/7/2022,"156,335",271,Regular,21,$4.66,$100.15,No
1N6BF0KM8GN816813,7/8/2022,"156,612",277,Regular,21,$4.64,$97.67,No
1N6BF0KM8GN816813,7/11/2022,"156,865",253,Regular,19,$4.50,$86.81,No
1N6BF0KM8GN816813,7/12/2022,"157,148",283,Regular,24,$4.90,$117.03,No
1N6BF0KM8GN816813,7/14/2022,"157,382",234,Regular,20,$4.46,$91.35,No
,,,,,,,,
1N6BF0KY0HN805230,7/6/2022,"118,045",320,Regular,22,$4.30,$95.24,No
1N6BF0KY0HN804014,7/7/2022,"262,538",259,Regular,12,$4.50,$54.32,No
1N6BF0KY0HN804014,7/7/2022,"262,778",240,Regular,18,$4.40,$79.84,No
1N6BF0KM5HN809061,7/7/2022,"999,999",78,Regular,5,$4.76,$25.00,No
1N6BF0KM5HN809061,7/13/2022,"104,167",321,Regular,21,$4.58,$98.15,No
1N6BF0KY0HN804014,7/8/2022,"263,045",267,Regular,20,$4.67,$94.65,No
1N6BF0KY0HN804014,7/12/2022,"263,361",316,Regular,18,$4.40,$78.60,No
1N6BF0KY0HN804014,7/13/2022,"263,617",256,Regular,16,$4.50,$69.93,No
1N6BF0KY0HN804014,7/14/2022,"263,852",235,Mid-Grade,20,$4.30,$85.70,No
1N6BF0KM6HN808145,7/13/2022,"106,967",294,Regular,21,$3.98,$85.01,No
1N6BF0KM3HN803307,7/5/2022,"112,157",295,Regular,9,$4.60,$40.00,No
1N6BF0KM3HN803307,7/6/2022,0,455,Regular,21,$4.33,$91.00,No
1N6BF0KM3HN803307,7/13/2022,"112,840",227,Regular,10,$4.40,$42.01,No
1N4AL3AP0HC140364,7/13/2022,"2,886",492,Regular,16,$4.58,$74.55,No
1N6BF0KMXGN815243,7/8/2022,"64,000",109,Regular,6,$5.90,$36.76,No
1N6BF0KM2HN809213,7/1/2022,"67,886",259,Regular,17,$4.60,$79.42,No
1N6BF0KM2HN809213,7/5/2022,"68,413",527,Regular,15,$4.11,$63.24,No
1N6BF0KM2HN809213,7/8/2022,"68,387",335,Regular,22,$4.40,$98.48,No
1N6BF0KM2HN809213,7/13/2022,"68,657",270,Regular,17,$4.00,$69.90,No
1N6BF0KM2HN809289,7/5/2022,"155,802",279,Regular,19,$4.84,$90.15,No
1N6BF0KM2HN809289,7/12/2022,"156,132",330,Regular,21,$4.79,$101.75,No
1N6BF0KMXGN815243,7/8/2022,"64,020",283,Regular,16,$5.56,$89.66,No
3N6CM0KN7HK699235,7/11/2022,"35,375",305,Regular,12,$5.80,$66.66,No
1N6BF0KM6HN808145,7/5/2022,"106,373",335,Regular,22,$4.25,$95.08,No
1N6BF0KM6HN808145,7/8/2022,"106,673",300,Regular,20,$4.06,$83.16,No
1N6BF0KM5HN809061,7/1/2022,"103,891",356,Regular,21,$4.88,$104.83,No
1N6BF0KM2HN809289,7/12/2022,"156,432",300,Regular,21,$4.79,$98.25,No
1N6BF0KM3HN809219,7/11/2022,"111,394",304,Regular,21,$4.34,$91.95,No
1N6BF0KM3HN803307,7/11/2022,"112,613",489,Regular,23,$4.30,$97.01,No
2C4RDGBG0HR687447,7/5/2022,"140,317",320,Regular,15,$4.58,$67.35,No
2C4RDGBG0HR687447,7/8/2022,"140,665",348,Regular,15,$4.50,$68.50,No
2C4RDGBG0HR687447,7/14/2022,"140,942",277,Regular,15,$4.39,$64.00,No
2C4RDGBG7HR831138,7/1/2022,"55,523",244,Regular,16,$4.90,$79.26,No
2C4RDGBG7HR831138,7/7/2022,"55,802",279,Regular,16,$4.76,$77.65,No
2C4RDGBG7HR831138,7/14/2022,"56,050",248,Regular,14,$4.60,$64.81,No
2C4RDGBG4HR831131,7/7/2022,"137,333",356,Regular,16,$4.90,$76.82,No
2C4RDGBG4HR831131,7/12/2022,"136,760",398,Regular,18,$4.66,$81.72,No
2C4RDGBG1HR831135,7/7/2022,"86,101",396,Regular,19,$4.82,$90.33,No
2C4RDGBG1HR831135,7/14/2022,"86,506",405,Regular,17,$4.66,$81.40,No
1N6BF0KM5HN808203,7/5/2022,"49,730",274,Regular,22,$6.30,$140.36,No
1N6BF0KM5HN808203,7/12/2022,"83,869",279,Regular,23,$6.42,$145.90,No
1N6BF0KM3HN809284,7/5/2022,"105,817",332,Regular,20,$4.15,$84.45,No
1N6BF0KM3HN809284,7/6/2022,"106,020",203,Regular,11,$4.50,$47.56,No
1N6BF0KM3HN809284,7/7/2022,"106,345",325,Regular,23,$4.40,$100.50,No
1N6BF0KM2JN800033,7/12/2022,"58,400",174,Regular,20,$4.70,$96.03,No
1N6BF0KM6JN800360,7/7/2022,"180,798",260,Regular,16,$4.80,$75.10,No
1N6BF0KM6JN800360,7/8/2022,"181,099",301,Regular,18,$4.80,$88.00,No
1N6BF0KM6JN800360,7/12/2022,"181,424",325,Regular,20,$4.80,$97.32,No
1N6BF0KM6JN800360,7/13/2022,"181,735",311,Regular,19,$4.71,$91.65,No
2C4RDGBG5HR831137,7/6/2022,"73,084",272,Regular,18,$5.06,$91.76,No
2C4RDGBG5HR831137,7/13/2022,"73,374",290,Regular,18,$4.80,$84.00,No
1N6BF0KMXJN800023,7/13/2022,"62,269",383,Regular,23,$4.28,$100.18,No
1N6BF0KM8JN800036,7/1/2022,"124,586",365,Regular,23,$4.84,$109.30,No
1N6BF0KM8JN800036,7/6/2022,"124,900",314,Regular,22,$4.68,$100.88,No
1N6BF0KM8JN800036,7/8/2022,"125,218",318,Regular,22,$4.64,$100.02,No
1N6BF0KM8JN800036,7/12/2022,"125,551",333,Regular,22,$4.61,$101.76,No
1N6BF0KM8JN800036,7/13/2022,"125,826",275,Regular,18,$4.64,$82.85,No
1N6BF0KM2JN800033,7/1/2022,"58,052",182,Regular,19,$4.86,$91.25,No
1N6BF0KM2JN800033,7/7/2022,"58,226",174,Regular,20,$4.99,$101.34,No
3N6CM0KN9JK690364,7/5/2022,"100,486",202,Regular,9,$4.30,$40.25,No
3N6CM0KN9JK690364,7/8/2022,"100,610",124,Regular,6,$4.20,$25.71,No
3N6CM0KN8JK690422,7/6/2022,"82,782",242,Regular,9,$4.40,$40.86,No
3N6CM0KN8JK690422,7/11/2022,"83,023",241,Regular,9,$4.23,$38.86,No
3N6CM0KN8JK690422,7/13/2022,"83,191",168,Regular,7,$4.20,$29.86,No
1N6BF0KMXJN800233,7/1/2022,"92,206",265,Regular,17,$4.53,$78.18,No
1N6BF0KMXJN800233,7/11/2022,"92,534",328,Regular,20,$4.67,$94.98,No
1N6BF0KMXJN800233,7/13/2022,"92,897",363,Regular,23,$4.85,$110.20,No
3N6CM0KN6JK691679,7/7/2022,"89,063",217,Regular,10,$4.20,$40.44,No
3N6CM0KN6JK691679,7/8/2022,"89,314",251,Regular,12,$4.05,$49.02,No
3N6CM0KN6JK691679,7/8/2022,"89,135",260,Regular,12,$4.00,$47.00,No
2C4RDGCG6HR834143,7/1/2022,"99,083",307,Regular,11,$6.40,$71.20,No
3N6CM0KN6JK690161,7/5/2022,"85,000",0,Regular,12,$5.28,$63.01,No
3N6CM0KN6JK690161,7/6/2022,"85,000",0,Regular,11,$5.26,$60.03,No
3N6CM0KN6JK690161,7/8/2022,"85,000",0,Regular,12,$5.20,$60.58,No
3N6CM0KN6JK690161,7/13/2022,"85,000",0,Regular,12,$5.19,$62.97,No
3N6CM0KN0JK690303,7/12/2022,"54,546",231,Regular,9,$4.70,$40.06,No
3N6CM0KN0JK690303,7/14/2022,"54,717",171,Regular,7,$4.70,$31.84,No
3N6CM0KN9JK691756,7/13/2022,"70,399",262,Regular,12,$3.79,$46.14,No
3N6CM0KN1JK691783,7/13/2022,"79,707",282,Regular,13,$3.88,$49.83,No
3N6CM0KN0JK691743,7/1/2022,"36,440",280,Regular,12,$6.00,$72.08,No
3N6CM0KN0JK691743,7/6/2022,"36,735",295,Regular,12,$6.20,$75.18,No
3N6CM0KN6JK691679,7/1/2022,"88,702",363,Regular,12,$4.40,$52.50,No
3N6CM0KN6JK691679,7/6/2022,"88,631",272,Regular,12,$4.42,$54.33,No
3N6CM0KN6JK691679,7/6/2022,"88,846",215,Regular,10,$4.50,$46.40,No
3N6CM0KN4JK690448,7/1/2022,"86,423",202,Regular,8,$5.10,$39.11,No
3N6CM0KN4JK690448,7/7/2022,"86,641",218,Regular,8,$5.00,$42.17,No
3N6CM0KN4JK690448,7/14/2022,"86,949",308,Regular,11,$4.80,$53.55,No
3N6CM0KN9JK690543,7/5/2022,"67,456",208,Regular,9,$4.65,$41.62,No
3N6CM0KN9JK690543,7/13/2022,0,278,Mid-Grade,12,$4.96,$59.17,No
3N6CM0KN9JK691742,7/5/2022,"76,996",302,Regular,12,$4.78,$57.37,No
