Branch_ID,BranchDesc,Division,Region,BranchSize,Last Svc Wip Total,Eval Count,Remote Eval %,Eval @ Home %,Eval @ Branch %,Repair @ Branch,Repair @ Home %,#Techs,Ttl Tech Activities,% Overtime,Repair Dlvrys,DOO,Rev Tech Hr,T 13 Svc Rev / Tech Hour,Avg Svc  Rev /Order,CB Complete Count,Dlvry Count,CBC Timeliness,BE Cmpl %,Total Tech Dlvrys per Tech Hr,Service Rev,Total Rev,Total Mnthly Budget,MTD Budget Goal,% to Goal MTD Svc Rev,T3 PG Overall,Svc TCT (P50),Direct Auto Costs/Ttl Rev,Ttl Dlvrys,Total Tech Hours,TechHours,Total Tech NewEquip Dlvrys as % of Ttl Tech Made Dlvrys,Total Tech Evals & Dlvrys
187,Owings Mills,Northeast,Mid-Atlantic,Other,"$54,745",15,33.3%,60.0%,0.0%,0.0%,100.0%,2,216,6.8%,1,,,,,15,1,92.9%,13.6%,0.077,,"$115,114.72",,,,,20,,12,156,155.51,100.00%,24
204,Baton Rouge,Southeast,Gulf Coast,Other,"$17,812",3,33.3%,66.7%,0.0%,0.0%,100.0%,1,66,1.6%,2,135.0,$28.91,$40.5,$916,3,2,100.0%,0.0%,0.095,"$1,831","$10,189.16",,,,,76,,6,63,63.34,66.67%,9
205,Aberdeen,Western,Pacific Northwest,Other,,,,,,0.0%,100.0%,,1,,1,,,,"$1,497",,1,,,,"$1,497","$1,497.28",,,,,371,,1,,,0.00%,1
208,Grand Junction,Western,Southwest,Other,"$17,161",5,80.0%,20.0%,0.0%,0.0%,100.0%,1,37,0.0%,2,132.0,$19.73,,$782,6,2,100.0%,0.0%,0.025,"$1,564","$7,568.93",,,,,232,,2,79,79.28,0.00%,7
209,Texarkana,Southeast,Gulf Coast,Other,"$55,036",7,57.1%,28.6%,0.0%,0.0%,100.0%,1,103,7.4%,6,114.8,$33.66,$55.5,$388,7,6,100.0%,21.7%,0.217,"$2,325","$68,079.77",,,,,72,,15,69,69.09,60.00%,23
210,Tyler,Southeast,Gulf Coast,Other,"$54,978",10,40.0%,50.0%,10.0%,0.0%,100.0%,1,97,3.7%,12,70.0,$100.72,$59.8,$553,11,12,100.0%,0.0%,0.228,"$6,636","$71,178.92",,,,,63,,15,66,65.88,20.00%,24
212,Panama City,Southeast,SEC,Other,"$37,468",7,14.3%,71.4%,0.0%,0.0%,100.0%,,20,,1,,,,,9,1,28.6%,0.0%,,,"$2,109.10",,,,,15,,1,,,0.00%,3
220,Temple,Southeast,South Central Texas,Other,"$25,645",7,28.6%,42.9%,14.3%,0.0%,100.0%,1,99,3.9%,6,94.6,$14.84,$35.7,$182,3,6,100.0%,0.0%,0.095,"$1,092","$63,040.74",,,,,53,,7,74,73.56,28.57%,12
238,Syracuse,Northeast,Big East,Other,"$24,233",8,25.0%,75.0%,0.0%,0.0%,100.0%,,44,,4,213.8,,,$744,6,4,87.5%,2.4%,,"$2,978","$19,494.78",,,,,73,,1,,,100.00%,
239,Valparaiso,Central,Mid-Central,Other,$170,1,0.0%,0.0%,100.0%,0.0%,100.0%,,34,,1,,,,$45,1,1,100.0%,,,$45,"$4,199.04",,,,,0,,8,,,87.50%,8
240,Glasgow,Central,Mid-Central,Other,"$7,377",4,0.0%,100.0%,0.0%,0.0%,100.0%,1,32,0.0%,4,360.0,$267.62,,$764,4,4,75.0%,100.0%,0.525,"$3,056","$39,489.02",,,,,85,,6,11,11.42,33.33%,10
245,Eugene,Western,Pacific Northwest,Other,"$46,761",6,0.0%,100.0%,0.0%,0.0%,100.0%,,104,,4,101.5,,,"$1,503",9,4,100.0%,12.0%,,"$6,011","$24,639.16",,,,,93,,4,,,0.00%,8
246,Wilkes-Barre,Northeast,Mid-Atlantic,Other,"$21,059",8,37.5%,62.5%,0.0%,0.0%,100.0%,,80,,4,69.2,,,$20,13,4,100.0%,0.0%,,$80,"$22,931.35",,,,,65,,6,,,33.33%,11
250,Albany NY Access,Northeast,Big East,Other,,1,0.0%,100.0%,0.0%,0.0%,100.0%,,462,5.2%,1,,,,,2,1,100.0%,,,,"$164,065.80",,,,,6,,149,580,,99.33%,161
251,Helena,Western,Pacific Northwest,Other,"$3,702",4,0.0%,100.0%,0.0%,0.0%,100.0%,1,72,7.0%,2,51.4,$25.29,,"$1,028",4,2,50.0%,,0.135,"$2,055","$64,964.85",,,,,88,,11,81,81.27,81.82%,15
253,Mount Vernon,Western,Pacific Northwest,Other,"$31,426",4,0.0%,100.0%,0.0%,0.0%,100.0%,1,67,2.3%,5,111.6,$23.96,$52.7,$394,4,5,100.0%,33.3%,0.073,"$1,969","$2,585.56",,,,,150,,6,82,82.19,16.67%,15
254,Kennewick,Western,Pacific Northwest,Other,"$11,135",1,0.0%,100.0%,0.0%,0.0%,100.0%,,19,,3,77.1,,,$278,2,3,0.0%,20.0%,,$835,$835.10,,,,,57,,,,,,
260,Grand Prairie,Southeast,Gulf Coast,Other,"$151,673",17,17.6%,82.4%,0.0%,0.0%,100.0%,3,211,7.5%,4,47.3,$12.29,$41.9,$625,18,4,93.8%,33.3%,0.039,"$2,498","$34,430.79",,,,,104,,8,203,203.23,50.00%,20
261,El Paso,Southeast,South Central Texas,Other,"$30,561",1,0.0%,100.0%,0.0%,0.0%,100.0%,1,41,1.7%,2,86.7,$4.71,,$96,1,2,,12.5%,0.049,$192,$191.61,,,,,117,,2,41,40.68,0.00%,2
264,Corpus Christi,Southeast,South Central Texas,Other,"$132,125",13,7.7%,84.6%,0.0%,0.0%,100.0%,2,151,7.5%,13,165.3,$103.96,$90.3,"$1,334",24,13,72.7%,11.8%,0.180,"$17,338","$47,363.56",,,,,60,,30,167,166.77,60.00%,64
269,Hattiesburg,Southeast,SEC,Other,"$2,908",1,0.0%,100.0%,0.0%,0.0%,100.0%,1,59,20.7%,4,202.5,$48.13,,$347,2,4,100.0%,100.0%,0.173,"$1,387","$71,249.12",,,,,24,,5,29,28.82,60.00%,6
270,Fayetteville,Central,North Central,Other,"$1,889",2,0.0%,100.0%,0.0%,0.0%,100.0%,,5,,1,,,,"$1,666",2,1,50.0%,,,"$1,666","$1,666.30",,,,,34,,1,,,0.00%,3
25,San Diego,Western,Southern Pacific,Cat 3,"$97,334",36,44.4%,47.2%,5.6%,0.0%,96.4%,4,282,4.6%,28,56.4,$64.88,$66.5,$516,43,28,77.8%,15.8%,0.166,"$14,457","$45,685.79",,,,,55,,37,223,222.81,29.73%,74
175,OKC North,Western,Southwest,Cat 5,"$188,241",26,26.9%,73.1%,0.0%,4.0%,96.0%,6,494,8.7%,25,76.3,$21.16,$52.2,$369,24,25,90.9%,11.9%,0.149,"$9,233","$218,171.08",,,,,56,,65,354,436.34,63.08%,72
218,San Antonio West,Southeast,South Central Texas,Other,"$106,149",10,10.0%,90.0%,0.0%,4.2%,95.8%,3,284,3.1%,24,95.5,$66.43,,$649,9,24,90.0%,30.0%,0.166,"$15,567","$88,190.19",,,,,94,,39,234,234.32,61.54%,34
107,Charlotte,Southeast,ACC,Cat 3,"$49,292",17,35.3%,47.1%,5.9%,0.0%,95.2%,3,239,0.3%,21,69.5,$47.27,$34.8,$457,16,21,88.2%,12.5%,0.202,"$9,593","$119,140.91",,,,,68,,41,355,202.93,48.78%,64
8,Chatsworth,Western,Southern Pacific,Cat 5,"$179,797",68,19.1%,66.2%,5.9%,0.0%,94.6%,6,574,13.5%,37,53.1,$39.87,$63.3,$517,75,37,89.8%,11.4%,0.073,"$19,126","$112,177.55",,,,,63,,35,480,479.69,37.14%,94
59,Connecticut,Northeast,New England,Cat 3,"$86,226",23,34.8%,60.9%,4.3%,0.0%,94.1%,3,188,1.2%,34,67.4,$91.26,$58.6,$610,29,34,90.9%,16.4%,0.119,"$20,741","$137,581.44",,,,,56,,27,227,227.27,14.81%,40
136,La Crosse,Central,North Central,Other,"$56,708",21,33.3%,52.4%,14.3%,5.9%,94.1%,1,150,2.2%,17,93.6,$63.65,$82.7,$309,26,17,100.0%,34.2%,0.230,"$5,247","$36,918.49",,,,,67,,19,82,82.43,15.79%,42
149,Baltimore,Northeast,Mid-Atlantic,Cat 5,"$158,820",25,28.0%,68.0%,0.0%,0.0%,94.1%,3,332,6.8%,17,110.1,$33.22,$100.7,$492,29,17,79.2%,10.7%,0.107,"$8,364","$69,726.24",,,,,71,,27,343,251.77,40.74%,70
158,Harrisburg,Northeast,Mid-Atlantic,Cat 3,"$98,244",75,22.7%,73.3%,2.7%,2.9%,94.1%,4,384,2.5%,34,68.5,$24.72,$44.0,$192,62,34,95.7%,19.2%,0.095,"$6,524","$123,542.87",,,,,37,,25,264,263.87,20.00%,110
259,Pacific WA,Western,Pacific Northwest,Other,"$58,246",20,25.0%,60.0%,15.0%,6.7%,93.3%,5,258,0.0%,15,48.5,$13.86,$23.0,$310,21,15,100.0%,5.9%,0.074,"$4,656","$71,288.89",,,,,36,,25,336,335.85,48.00%,44
130,Redding,Western,Northern California,Other,"$61,193",11,9.1%,90.9%,0.0%,7.1%,92.9%,2,114,2.0%,14,48.9,$26.36,$79.6,$285,15,14,100.0%,17.6%,0.132,"$3,989","$49,932.79",,,,,47,,20,151,151.32,35.00%,26
141,Washington DC,Northeast,Mid-Atlantic,Other,"$77,679",11,0.0%,100.0%,0.0%,0.0%,92.9%,1,247,2.8%,14,131.6,$95.32,$71.2,$605,16,14,63.6%,21.9%,0.248,"$8,469","$99,081.03",,,,,176,,22,89,88.85,36.36%,35
166,Flint Michigan,Central,Big 10,Cat 3,"$51,686",27,40.7%,55.6%,3.7%,0.0%,92.3%,2,202,14.3%,13,54.6,$15.35,,$177,28,13,88.9%,17.9%,0.100,"$2,296","$47,284.30",,,,,50,,15,150,149.54,20.00%,38
48,Memphis,Central,North Central,Other,"$64,855",19,73.7%,5.3%,21.1%,8.3%,91.7%,2,237,6.1%,12,96.8,$26.03,$28.9,$298,21,12,94.7%,13.3%,0.146,"$3,573","$89,247.92",,,,,63,,20,137,137.26,40.00%,37
18,Stockton,Western,Northern California,Other,"$50,795",32,31.3%,37.5%,21.9%,9.1%,90.9%,2,258,1.5%,11,41.2,$28.18,$101.2,$371,32,11,90.3%,23.5%,0.117,"$4,079","$9,156.61",,,,,27,,17,145,144.74,35.29%,48
84,Louisville,Central,Mid-Central,Cat 3,"$88,864",17,23.5%,47.1%,17.6%,9.1%,90.9%,4,263,2.2%,11,111.8,$22.23,$46.3,$481,14,11,93.8%,6.8%,0.109,"$5,294","$76,144.61",,,,,71,,26,238,238.18,61.54%,34
148,Savannah,Southeast,ACC,Other,"$14,662",6,33.3%,50.0%,16.7%,0.0%,90.9%,,31,,11,36.7,,,$374,6,11,100.0%,20.0%,,"$4,109","$20,314.24",,,,,19,,11,,,0.00%,
137,Freeland,Central,Big 10,Other,"$168,897",37,67.6%,27.0%,2.7%,0.0%,90.5%,3,297,12.7%,21,113.2,$36.65,$54.2,$429,45,21,96.9%,14.1%,0.102,"$9,017","$110,033.31",,,,,37,,25,321,246.04,32.00%,39
165,Olympia,Western,Pacific Northwest,Other,"$101,825",23,26.1%,56.5%,0.0%,0.0%,90.5%,3,231,4.8%,21,105.6,$27.70,$50.4,$305,33,21,91.3%,7.5%,0.134,"$6,409","$51,842.43",,,,,44,,31,231,231.39,32.26%,52
122,Woburn,Northeast,New England,Cat 3,"$618,203",51,62.7%,25.5%,3.9%,0.0%,89.5%,4,255,20.3%,19,154.4,$30.47,$209.1,$522,52,19,100.0%,13.7%,0.068,"$9,922","$57,113.44",,,,,89,,22,326,325.6,22.73%,54
34,Lexington,Central,Mid-Central,Other,"$65,454",12,41.7%,33.3%,25.0%,11.1%,88.9%,2,95,2.6%,9,182.7,$27.87,$66.3,$339,9,9,100.0%,11.7%,0.101,"$3,048","$18,443.95",,,,,69,,11,109,109.37,36.36%,18
91,McAllen,Southeast,South Central Texas,Other,"$87,359",9,22.2%,44.4%,33.3%,11.1%,88.9%,2,108,7.1%,9,126.7,$25.82,$21.7,$474,12,9,77.8%,5.6%,0.067,"$4,270","$23,620.88",,,,,118,,11,165,165.4,27.27%,19
226,Portland North,Western,Pacific Northwest,Other,"$56,176",13,38.5%,61.5%,0.0%,11.1%,88.9%,1,120,5.7%,9,69.1,$60.30,,$502,10,9,91.7%,18.8%,0.134,"$4,514","$76,656.64",,,,,67,,10,75,74.86,10.00%,23
57,Buffalo,Northeast,Big East,Other,"$50,632",16,31.3%,56.3%,12.5%,0.0%,87.5%,2,123,4.5%,8,73.0,$36.78,$43.4,$556,28,8,93.3%,0.0%,0.091,"$4,446","$52,643.69",,,,,61,,11,121,120.88,27.27%,21
36,Fresno,Western,Southern Pacific,Cat 5,"$115,286",19,5.3%,57.9%,10.5%,13.6%,86.4%,5,275,2.1%,22,86.8,$36.41,$38.5,$463,22,22,89.5%,12.5%,0.136,"$10,178","$33,728.52",,,,,105,,38,280,279.51,47.37%,52
29,Greenville,Southeast,ACC,Other,"$42,368",8,62.5%,12.5%,12.5%,14.3%,85.7%,2,155,0.1%,14,76.2,$35.11,$41.1,$369,8,14,100.0%,0.0%,0.075,"$5,168","$15,285.18",,,,,67,,11,147,147.21,9.09%,16
79,Lafayette,Southeast,Gulf Coast,Other,"$34,912",7,42.9%,42.9%,14.3%,14.3%,85.7%,2,85,2.2%,7,140.3,$24.42,,$418,4,7,100.0%,24.4%,0.083,"$2,926","$6,183.47",,,,,67,,10,120,119.79,30.00%,17
133,Allentown,Northeast,Mid-Atlantic,Other,"$32,911",19,68.4%,26.3%,5.3%,14.3%,85.7%,3,221,2.2%,7,51.7,$3.13,,$88,24,7,82.4%,4.0%,0.102,$614,"$46,923.99",,,,,46,,20,196,196.08,65.00%,37
140,Portland,Western,Pacific Northwest,Other,"$69,204",10,50.0%,40.0%,10.0%,14.3%,85.7%,1,162,9.6%,7,88.3,$126.31,$40.4,"$1,414",10,7,100.0%,4.0%,0.128,"$9,900","$93,143.38",,,,,61,,10,78,78.38,30.00%,23
177,Sayre,Northeast,Mid-Atlantic,Other,"$43,977",19,57.9%,36.8%,5.3%,14.3%,85.7%,1,65,6.9%,7,80.7,$42.16,$67.7,$454,20,7,100.0%,33.3%,0.119,"$3,180","$7,327.11",,,,,51,,9,75,75.42,22.22%,29
180,Albuquerque,Western,Southwest,Other,"$72,163",16,18.8%,62.5%,12.5%,7.1%,85.7%,2,145,13.5%,14,127.2,$57.50,$31.4,$533,18,14,100.0%,11.1%,0.146,"$7,459","$64,391.62",,,,,58,,19,130,129.72,36.84%,32
256,Parma,Central,Big 10,Other,"$401,041",57,12.3%,82.5%,3.5%,14.3%,85.7%,6,354,7.4%,7,118.9,$5.26,$49.3,$350,59,7,91.1%,10.6%,0.019,"$2,450","$76,566.58",,,,,35,,9,465,465.49,44.44%,59
263,Brownwood,Southeast,South Central Texas,Other,"$32,323",4,50.0%,50.0%,0.0%,0.0%,85.7%,1,43,,7,100.9,$63.87,$47.1,$774,5,7,100.0%,12.5%,0.177,"$5,418","$22,089.26",,,,,58,,15,,84.84,53.33%,10
265,Gulf Breeze,Southeast,SEC,Other,"$21,559",13,15.4%,69.2%,15.4%,14.3%,85.7%,1,82,5.2%,7,35.5,$39.81,$45.0,$481,14,7,100.0%,,0.142,"$3,364","$39,682.80",,,,,27,,12,85,84.5,50.00%,20
5,Atlanta,Southeast,SEC,Cat 5,"$204,050",40,40.0%,47.5%,7.5%,10.0%,85.0%,5,445,4.3%,20,95.0,$22.85,$89.3,$361,43,20,76.3%,11.4%,0.120,"$7,227","$132,176.47",,,,,83,,38,317,316.26,50.00%,74
98,Norfolk,Northeast,Mid-Atlantic,Other,"$82,135",25,44.0%,40.0%,16.0%,15.4%,84.6%,3,200,4.4%,13,181.9,$25.07,$16.6,$410,30,13,95.7%,3.3%,0.103,"$5,333","$70,544.03",,,,,83,,22,213,212.67,40.91%,50
164,Anchorage,Western,Pacific Northwest,Other,"$65,294",14,14.3%,71.4%,14.3%,7.7%,84.6%,1,128,8.1%,13,86.6,$104.94,$47.0,$633,14,13,100.0%,17.6%,0.306,"$8,225","$62,492.02",,,,,94,,24,78,78.38,45.83%,53
221,Houston West,Southeast,Gulf Coast,Other,"$179,166",24,33.3%,58.3%,4.2%,5.3%,84.2%,5,328,8.6%,19,90.7,$29.54,$62.6,$494,34,19,90.9%,12.2%,0.069,"$9,390","$155,848.22",,,,,63,,22,318,317.91,27.27%,48
132,Fort Lauderdale,Southeast,SEC,Cat 3,"$116,059",34,23.5%,55.9%,11.8%,5.6%,83.3%,4,304,8.7%,18,83.1,$14.58,$43.5,$249,29,18,84.4%,26.5%,0.124,"$4,483","$198,187.30",,,,,56,,38,223,307.49,57.89%,66
147,Macon,Southeast,SEC,Other,"$16,734",5,40.0%,60.0%,0.0%,16.7%,83.3%,1,88,2.7%,6,57.3,$48.67,$31.2,$669,10,6,80.0%,25.0%,0.121,"$4,012","$72,199.68",,,,,104,,10,82,82.44,50.00%,15
202,Ft. Myers,Southeast,SEC,Other,"$62,414",12,16.7%,50.0%,25.0%,16.7%,83.3%,2,145,0.0%,6,108.9,$19.75,$41.1,$439,11,6,100.0%,0.0%,0.045,"$2,632","$62,379.70",,,,,71,,6,133,133.28,16.67%,16
242,Erie,Central,Big 10,Other,"$10,150",6,33.3%,33.3%,16.7%,16.7%,83.3%,1,60,0.0%,6,47.3,$37.98,$21.8,$460,6,6,100.0%,0.0%,0.083,"$2,762","$3,844.48",,,,,19,,6,73,72.72,0.00%,12
94,Asheville,Southeast,ACC,Cat 3,"$68,891",18,38.9%,44.4%,11.1%,8.7%,82.6%,3,245,1.1%,23,80.0,$28.42,$82.5,$273,17,23,75.0%,8.9%,0.145,"$6,282","$113,506.38",,,,,51,,32,221,221.07,28.13%,51
127,Des Moines,Central,North Central,Other,"$40,302",20,30.0%,65.0%,5.0%,4.3%,82.6%,2,165,0.9%,23,61.6,$52.39,$101.3,$279,16,23,100.0%,50.0%,0.237,"$6,422","$22,072.02",,,,,42,,29,123,122.58,20.69%,47
45,Philadelphia,Northeast,Big East,Cat 5,"$385,751",110,41.8%,50.0%,3.6%,9.4%,82.4%,6,1107,2.1%,85,68.1,$93.08,$162.7,$446,104,85,89.1%,18.3%,0.363,"$37,936","$367,167.47",,,,,72,,148,517,407.58,44.59%,237
159,Abilene,Southeast,South Central Texas,Other,"$102,058",18,38.9%,61.1%,0.0%,17.6%,82.4%,2,154,1.1%,17,119.0,$42.91,$199.4,$259,14,17,93.8%,14.6%,0.214,"$4,403","$62,051.71",,,,,73,,22,150,102.63,31.82%,42
50,Fort Smith,Central,North Central,Other,"$44,143",3,33.3%,66.7%,0.0%,20.0%,80.0%,2,67,0.0%,10,65.9,$78.70,,$824,3,10,66.7%,16.7%,0.134,"$8,244","$25,522.50",,,,,33,,14,105,104.76,28.57%,17
72,San Antonio,Southeast,South Central Texas,Cat 3,"$211,196",26,38.5%,38.5%,23.1%,16.0%,80.0%,5,329,8.7%,25,82.9,$58.94,$85.5,$769,25,25,92.0%,11.9%,0.123,"$19,223","$173,159.54",,,,,93,,40,326,326.12,40.00%,74
151,Jacksonville,Southeast,SEC,Other,"$55,267",3,66.7%,33.3%,0.0%,0.0%,80.0%,1,77,7.3%,5,119.0,$14.77,$39.3,$235,1,5,100.0%,10.5%,0.189,"$1,173","$35,821.66",,,,,73,,15,79,79.43,73.33%,18
197,South Bend,Central,Mid-Central,Other,"$16,868",2,50.0%,0.0%,50.0%,0.0%,80.0%,1,107,0.0%,5,120.0,$24.04,$29.3,$312,3,5,50.0%,27.9%,0.185,"$1,561","$120,662.77",,,,,76,,12,65,64.96,66.67%,16
119,Plainview,Northeast,Big East,Cat 5,"$332,350",44,29.5%,52.3%,6.8%,12.8%,79.5%,5,430,5.1%,39,93.7,$65.50,$156.0,$617,47,39,86.8%,8.0%,0.136,"$24,068","$227,497.75",,,,,87,,50,367,367.45,26.00%,87
174,Burlington VT,Northeast,New England,Other,"$223,292",72,33.3%,51.4%,8.3%,13.8%,79.3%,4,382,4.1%,29,131.3,$35.39,$66.2,$344,72,29,76.8%,8.2%,0.110,"$9,963","$45,062.89",,,,,84,,31,282,281.5,19.35%,86
11,Anaheim,Western,Southern Pacific,Cat 5,"$443,726",142,14.8%,59.2%,9.2%,4.7%,79.2%,9,1132,11.5%,106,65.1,$66.79,$74.2,$406,163,106,80.9%,9.8%,0.192,"$43,088","$293,885.62",,,,,49,,124,790,645.12,38.71%,245
7,Dallas,Southeast,Gulf Coast,Cat 5,"$233,672",64,26.6%,57.8%,7.8%,12.1%,78.8%,6,664,8.0%,33,120.3,$37.02,$41.2,$465,55,33,95.1%,12.4%,0.125,"$15,348","$132,566.47",,,,,120,,52,415,414.57,44.23%,119
131,New York City,Northeast,Big East,Cat 5,"$710,638",138,29.7%,34.8%,25.4%,11.1%,78.8%,10,1106,4.3%,99,91.8,$85.41,$111.8,$596,142,99,94.7%,11.0%,0.197,"$58,961","$260,173.70",,,,,73,,136,834,690.33,27.94%,260
129,Indy NW,Central,Mid-Central,Cat 5,"$188,259",64,23.4%,54.7%,20.3%,17.9%,78.6%,7,580,2.2%,28,54.6,$20.38,$137.8,$355,60,28,98.3%,28.6%,0.140,"$9,928","$227,279.57",,,,,39,,68,411,487.1,58.82%,108
54,Charleston,Central,Mid-Central,Other,"$50,323",7,42.9%,57.1%,0.0%,22.2%,77.8%,2,164,1.3%,9,32.4,$35.87,$166.3,$627,12,9,66.7%,25.0%,0.070,"$5,646","$27,326.54",,,,,51,,11,157,157.42,18.18%,17
