VIN,Date Time,Odometer,Miles Driven,Fuel Type,Units,Price Per Unit,Total Amount,Non-Fuel Transaction,,,,,,"1,233,106",64491,19.12059936
5TFAZ5CN2HX034460,7/7/2022,"97,212",324,Regular,17,$4.20,$73.31,No,,,,,,,,
5TFAZ5CN2HX034460,7/14/2022,"97,540",328,Regular,18,$3.96,$69.90,No,,,,,,,,
5TFAZ5CN2HX034460,7/20/2022,"97,872",332,Regular,18,$3.94,$70.92,No,,,,,,,,
JTDKDTB37E1076337,7/11/2022,"175,989",288,Regular,7,$4.16,$28.08,No,,,,,,,,
JTDKDTB37E1076337,7/13/2022,"176,312",286,Regular,7,$4.20,$28.19,No,,,,,,,,
WD3PG2EAXG3086735,7/6/2022,"112,087",387,Regular,15,$5.20,$76.63,No,,,,,,,,
WD3PG2EAXG3086735,7/12/2022,"112,548",461,Regular,16,$5.00,$77.58,No,,,,,,,,
WD3PG2EAXG3086735,7/15/2022,"112,548",367,Regular,14,$4.95,$69.21,No,,,,,,,,
WD3PG2EAXG3086735,7/22/2022,"112,548",395,Regular,15,$5.40,$81.36,No,,,,,,,,
3C6TRVBG4EE103938,7/12/2022,"92,815",263,Regular,17,$5.50,$93.37,No,,,,,,,,
1GTS8AF40E1109383,7/19/2022,"126,060",276,Regular,18,$5.35,$94.32,No,,,,,,,,
1N6AF0KY3DN110875,7/1/2022,"181,169",160,Regular,20,$4.86,$97.64,No,,,,,,,,
1N6AF0KY3DN110875,7/5/2022,"181,344",175,Regular,11,$4.86,$54.04,No,,,,,,,,
1N6AF0KY3DN110875,7/6/2022,"181,450",203,Regular,17,$4.90,$85.11,No,,,,,,,,
1N6AF0KY3DN110875,7/7/2022,"181,740",290,Regular,8,$4.78,$37.00,No,,,,,,,,
1N6AF0KY3DN110875,7/8/2022,"181,798",120,Regular,10,$4.74,$48.78,No,,,,,,,,
1N6AF0KY3DN110875,7/10/2022,"181,906",245,Regular,21,$4.74,$99.20,No,,,,,,,,
1N6AF0KY3DN110875,7/11/2022,"182,075",169,Regular,22,$4.80,$105.58,No,,,,,,,,
1N6AF0KY3DN110875,7/12/2022,"182,339",264,Regular,20,$4.80,$97.48,No,,,,,,,,
1N6AF0KY3DN110875,7/13/2022,"12,054",145,Regular,12,$4.70,$58.37,No,,,,,,,,
1N6AF0KY3DN110875,7/19/2022,"14,346",154,Regular,13,$4.66,$61.41,No,,,,,,,,
1N6AF0KY3DN110875,7/21/2022,"14,682",336,Regular,13,$4.47,$57.23,No,,,,,,,,
149149,7/1/2022,"184,334",378,Regular,14,$4.76,$68.30,No,,,,,,,,
149149,7/6/2022,"184,708",374,Regular,14,$5.00,$69.87,No,,,,,,,,
149149,7/14/2022,"185,361",332,Premium,13,$5.73,$75.09,No,,,,,,,,
149149,7/22/2022,"184,321",381,Premium,15,$5.70,$85.64,No,,,,,,,,
NM0LE6E77E1155229,7/5/2022,"109,115",137,Regular,6,$4.87,$28.32,No,,,,,,,,
NM0LE6E77E1155229,7/6/2022,"109,291",176,Regular,6,$4.80,$30.01,No,,,,,,,,
NM0LE6E77E1155229,7/8/2022,"158,229",160,Regular,6,$4.76,$27.53,No,,,,,,,,
NM0LE6E77E1155229,7/11/2022,"158,229",248,Regular,9,$4.76,$42.62,No,,,,,,,,
NM0LE6E77E1155229,7/13/2022,"109,954",241,Regular,9,$4.70,$41.01,No,,,,,,,,
NM0LE6E77E1155229,7/15/2022,"110,139",185,Regular,7,$4.64,$32.61,No,,,,,,,,
NM0LE6E77E1155229,7/19/2022,"110,300",161,Regular,6,$4.58,$28.26,No,,,,,,,,
NM0LE6E77E1155229,7/21/2022,"110,492",192,Regular,7,$4.58,$33.11,No,,,,,,,,
2C4RDGBG3JR160878,7/5/2022,"151,356",220,Regular,13,$4.50,$59.39,No,,,,,,,,
2C4RDGBG3JR160878,7/7/2022,"151,748",392,Regular,18,$4.26,$75.30,No,,,,,,,,
2C4RDGBG3JR160878,7/11/2022,0,423,Regular,19,$4.10,$78.19,No,,,,,,,,
2C4RDGBG3JR160878,7/14/2022,"152,486",389,Regular,18,$3.85,$67.61,No,,,,,,,,
2C4RDGBG3JR160878,7/15/2022,0,360,Regular,16,$3.96,$64.38,No,,,,,,,,
2C4RDGBG3JR160878,7/18/2022,"152,824",373,Regular,17,$4.20,$70.70,No,,,,,,,,
2C4RDGBG3JR160878,7/20/2022,"153,654",385,Regular,17,$3.95,$68.57,No,,,,,,,,
2C4RDGBG7JR182219,7/6/2022,"97,381",326,Regular,17,$4.57,$77.90,No,,,,,,,,
2C4RDGBG7JR182219,7/12/2022,"97,698",317,Regular,16,$4.50,$73.77,No,,,,,,,,
2C4RDGBG7JR182219,7/18/2022,"98,019",321,Regular,17,$4.30,$72.48,No,,,,,,,,
2C4RDGBG7JR182219,7/20/2022,"98,373",354,Regular,16,$3.98,$64.69,No,,,,,,,,
2A4RR5D16AR193463,7/7/2022,"97,584",266,Regular,14,$4.70,$65.90,No,,,,,,,,
1GTZ7GFG1G1208926,7/6/2022,"175,000",392,Regular,28,$4.80,$133.54,No,,,,,,,,
1GTZ7GFG1G1208926,7/11/2022,"175,898",898,Regular,27,$4.63,$125.83,No,,,,,,,,
1GTZ7GFG1G1208926,7/13/2022,"175,976",467,Regular,28,$4.54,$125.63,No,,,,,,,,
1GTZ7GFG1G1208926,7/18/2022,"176,461",485,Regular,28,$4.39,$121.63,No,,,,,,,,
1GTZ7GFG1G1208926,7/20/2022,"176,877",416,Regular,25,$4.33,$107.02,No,,,,,,,,
2C4RDGBG6GR243343,7/5/2022,"165,000",402,Regular,16,$4.26,$69.15,No,,,,,,,,
2C4RDGBG6GR243343,7/11/2022,"170,000",395,Regular,16,$4.04,$64.34,No,,,,,,,,
2C4RDGBG6GR243343,7/13/2022,"17,000",330,Regular,13,$4.00,$53.20,No,,,,,,,,
2C4RDGBG6GR243343,7/19/2022,"175,000",342,Regular,14,$3.85,$53.16,No,,,,,,,,
2C4RDGBG0GR262969,7/5/2022,"187,289",302,Regular,14,$4.60,$64.47,No,,,,,,,,
2C4RDGBG0GR262969,7/11/2022,"188,140",345,Regular,16,$4.20,$67.28,No,,,,,,,,
2C4RDGBG0GR262969,7/19/2022,"188,442",302,Regular,16,$4.00,$63.72,No,,,,,,,,
5TDKK3DC4DS285796,7/5/2022,"155,536",347,Regular,17,$4.49,$76.69,No,,,,,,,,
5TDKK3DC4DS285796,7/8/2022,"155,908",372,Regular,17,$4.10,$69.84,No,,,,,,,,
5TDKK3DC4DS285796,7/13/2022,"156,272",364,Regular,17,$4.27,$72.64,No,,,,,,,,
5TDKK3DC4DS285796,7/18/2022,"156,654",382,Regular,17,$4.16,$71.42,No,,,,,,,,
5TDKK3DC4DS285796,7/22/2022,"156,973",319,Regular,15,$4.06,$60.10,No,,,,,,,,
2C4RC1BG3GR291558,7/11/2022,"182,064",291,Regular,19,$4.58,$84.70,No,,,,,,,,
2C4RC1BG3GR291558,7/14/2022,"182,370",306,Regular,13,$4.40,$58.59,No,,,,,,,,
2C4RC1BG3GR291558,7/19/2022,"182,685",315,Regular,17,$4.37,$76.30,No,,,,,,,,
1GTN2TEC3EZ321814,7/5/2022,"169,207",436,Regular,20,$4.85,$98.68,No,,,,,,,,
1GTN2TEC3EZ321814,7/8/2022,"169,678",471,Regular,22,$4.74,$105.76,No,,,,,,,,
1GTN2TEC3EZ321814,7/13/2022,"170,139",461,Regular,21,$4.56,$93.85,No,,,,,,,,
1GTN2TEC3EZ321814,7/15/2022,"170,602",463,Regular,20,$4.68,$95.31,No,,,,,,,,
1GTN2TEC3EZ321814,7/19/2022,"170,553",357,Regular,18,$4.24,$76.07,No,,,,,,,,
2C4RDGBG5GR325063,7/1/2022,"92,346",375,Regular,18,$4.40,$78.65,No,,,,,,,,
2C4RDGBG5GR325063,7/7/2022,"92,631",285,Regular,15,$4.30,$65.88,No,,,,,,,,
2C4RDGBG5GR325063,7/14/2022,"92,950",319,Regular,18,$4.16,$75.71,No,,,,,,,,
2C4RDGBG5GR325063,7/21/2022,"93,288",338,Regular,18,$4.00,$70.06,No,,,,,,,,
2C4RDGBG2GR337185,7/21/2022,"94,817",557,Regular,15,$3.85,$59.23,No,,,,,,,,
1GCWGAFF0H1352752,7/1/2022,"140,268",462,Regular,30,$4.86,$144.81,No,,,,,,,,
1GCWGAFF0H1352752,7/8/2022,"140,708",440,Regular,10,$4.66,$46.90,No,,,,,,,,
1GCWGAFF0H1352752,7/8/2022,"140,871",485,Regular,28,$4.20,$119.08,No,,,,,,,,
1GCWGAFF0H1352752,7/13/2022,"141,131",260,Regular,17,$4.30,$74.75,No,,,,,,,,
1GCWGAFF0H1352752,7/14/2022,"141,415",86,Regular,5,$4.41,$22.25,No,,,,,,,,
1GCWGAFF0H1352752,7/14/2022,"141,538",313,Regular,18,$4.45,$81.55,No,,,,,,,,
1GCWGAFF0H1352752,7/15/2022,"141,638",100,Regular,7,$4.40,$29.28,No,,,,,,,,
1GCWGAFF0H1352752,7/18/2022,"142,046",395,Regular,23,$4.42,$102.26,No,,,,,,,,
1GCWGAFF0H1352752,7/21/2022,"142,512",466,Regular,29,$4.02,$116.74,No,,,,,,,,
1GCWGAFF0H1352847,7/5/2022,"88,126",366,Regular,23,$4.35,$102.10,No,,,,,,,,
1GCWGAFF0H1352847,7/6/2022,"88,355",229,Regular,14,$4.50,$62.29,No,,,,,,,,
1GCWGAFF0H1352847,7/11/2022,"88,703",348,Regular,22,$4.26,$91.87,No,,,,,,,,
1GCWGAFF0H1352847,7/14/2022,"88,986",283,Regular,17,$4.18,$70.53,No,,,,,,,,
1GCWGAFF0H1352847,7/21/2022,"89,413",427,Regular,27,$3.98,$105.43,No,,,,,,,,
5TDZK3DC5DS381094,7/1/2022,"102,416",283,Regular,14,$4.49,$63.08,No,,,,,,,,
5TDZK3DC5DS381094,7/6/2022,"102,769",353,Regular,15,$4.38,$65.69,No,,,,,,,,
5TDZK3DC5DS381094,7/12/2022,"103,078",309,Regular,15,$4.40,$66.08,No,,,,,,,,
5TDZK3DC5DS381094,7/14/2022,"103,658",580,Regular,15,$4.20,$65.00,No,,,,,,,,
5TDZK3DC5DS381094,7/19/2022,"103,868",210,Regular,17,$4.00,$67.99,No,,,,,,,,
NM0LS6E20L1439702,7/1/2022,"69,754",206,Regular,7,$4.38,$31.87,No,,,,,,,,
NM0LS6E20L1439702,7/8/2022,"69,995",241,Regular,8,$4.34,$36.61,No,,,,,,,,
NM0LS6E20L1439702,7/12/2022,0,235,Regular,8,$4.10,$34.67,No,,,,,,,,
NM0LS6E20L1439702,7/19/2022,"70,339",134,Regular,5,$4.07,$19.67,No,,,,,,,,
NM0LS6E24L1447026,7/2/2022,"54,845",348,Premium,13,$4.44,$55.56,No,,,,,,,,
NM0LS6E24L1447026,7/5/2022,"55,146",301,Regular,11,$4.43,$49.12,No,,,,,,,,
NM0LS6E24L1447026,7/6/2022,0,364,Regular,13,$4.40,$57.68,No,,,,,,,,
NM0LS6E24L1447026,7/10/2022,"55,773",245,Regular,9,$4.34,$38.23,No,,,,,,,,
NM0LS6E24L1447026,7/17/2022,"56,180",407,Regular,13,$4.09,$54.38,No,,,,,,,,
NM0LS6E24L1447026,7/19/2022,"56,539",359,Regular,12,$3.86,$47.64,No,,,,,,,,
NM0LS6E24L1447026,7/20/2022,"56,817",278,Regular,10,$4.15,$40.36,No,,,,,,,,
NM0LS6E24L1447026,7/21/2022,"57,151",334,Regular,12,$3.90,$48.11,No,,,,,,,,
1N4BL4DV9MN410730,7/11/2022,"10,556",323,Regular,12,$6.20,$74.69,No,,,,,,,,
1N4BL4DV9MN410730,7/14/2022,"10,919",363,Regular,12,$6.00,$73.42,No,,,,,,,,
1N4BL4DV9MN410730,7/20/2022,"11,283",364,Regular,12,$5.75,$70.11,No,,,,,,,,
1FTYR1ZMXKKB49947,7/1/2022,"39,630",337,Regular,20,$4.50,$90.01,No,,,,,,,,
1FTYR1ZMXKKB49947,7/6/2022,"39,916",286,Regular,18,$4.29,$77.00,No,,,,,,,,
1FTYR1ZMXKKB49947,7/8/2022,"40,272",356,Regular,21,$4.15,$86.00,No,,,,,,,,
1FTYR1ZMXKKB49947,7/12/2022,"40,611",339,Regular,20,$4.00,$79.01,No,,,,,,,,
1FTYR1ZMXKKB49947,7/14/2022,0,356,Regular,21,$4.30,$91.00,No,,,,,,,,
1FTYR1ZMXKKB49947,7/15/2022,"41,338",343,Regular,20,$4.13,$84.16,No,,,,,,,,
1FTYR1ZMXKKB49947,7/20/2022,"41,704",366,Regular,21,$3.64,$76.37,No,,,,,,,,
1FTYR1ZM8KKB34797,7/5/2022,"29,245",276,Regular,18,$4.16,$75.00,No,,,,,,,,
1FTYR1ZM8KKB34797,7/7/2022,"29,561",316,Regular,21,$4.10,$88.01,No,,,,,,,,
1FTYR1ZM8KKB34797,7/12/2022,"29,914",353,Regular,22,$4.29,$93.00,No,,,,,,,,
1FTYR1ZM8KKB34797,7/15/2022,"30,202",288,Regular,18,$3.90,$69.00,No,,,,,,,,
1FTYR1ZM8KKB34797,7/20/2022,"30,540",338,Regular,21,$3.86,$81.00,No,,,,,,,,
1FTYR1YM7KKB50989,7/5/2022,"39,053",355,Regular,21,$4.19,$86.28,No,,,,,,,,
1FTYR1YM7KKB50989,7/6/2022,"39,433",380,Regular,12,$4.20,$50.00,No,,,,,,,,
1FTYR1YM7KKB50989,7/7/2022,"39,592",159,Regular,20,$4.26,$83.14,No,,,,,,,,
1FTYR1YM7KKB50989,7/11/2022,"39,922",330,Regular,19,$4.20,$80.15,No,,,,,,,,
1FTYR1YM7KKB50989,7/14/2022,"40,256",334,Regular,20,$3.95,$77.33,No,,,,,,,,
1FTYR1YM7KKB50989,7/18/2022,"40,627",371,Regular,22,$3.86,$84.45,No,,,,,,,,
1FTYR1YM7KKB50989,7/19/2022,"40,936",309,Regular,17,$3.97,$68.91,No,,,,,,,,
1FTYR1YM7KKB50989,7/21/2022,"41,242",306,Regular,19,$3.76,$71.05,No,,,,,,,,
1FTYR1YM6KKB35125,7/6/2022,"22,346",298,Regular,21,$6.30,$130.87,No,,,,,,,,
1FTYR1YM6KKB35125,7/8/2022,"50,085",309,Regular,22,$6.20,$133.63,No,,,,,,,,
1FTYR1YM6KKB35125,7/13/2022,"22,695",332,Regular,23,$6.10,$141.21,No,,,,,,,,
1FTYR1YM6KKB35125,7/14/2022,"50,611",122,Regular,9,$6.00,$51.23,No,,,,,,,,
1FTYR1YM6KKB35125,7/19/2022,"23,048",321,Regular,22,$6.30,$140.90,No,,,,,,,,
1FTYR1YM6KKB35125,7/21/2022,"2,334",124,Regular,9,$5.90,$51.33,No,,,,,,,,
1FTYR1ZM0KKB02040,7/1/2022,"30,400",370,Regular,21,$4.68,$100.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/7/2022,"30,970",380,Regular,22,$4.60,$103.01,No,,,,,,,,
1FTYR1ZM0KKB02040,7/8/2022,"31,345",375,Regular,23,$4.20,$98.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/13/2022,"31,700",355,Regular,24,$4.26,$103.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/14/2022,"32,080",380,Regular,22,$4.08,$90.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/15/2022,"32,420",340,Regular,23,$3.88,$89.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/18/2022,"32,772",352,Regular,23,$3.87,$90.00,No,,,,,,,,
1FTYR1ZM0KKB02040,7/21/2022,"33,151",379,Regular,23,$4.16,$97.00,No,,,,,,,,
2C4RC1DG5MR586704,7/6/2022,"10,779",352,Regular,14,$4.86,$67.94,No,,,,,,,,
2C4RC1DG5MR586704,7/13/2022,"11,168",389,Regular,16,$4.66,$76.80,No,,,,,,,,
2C4RC1DG5MR586704,7/19/2022,"11,526",384,Regular,15,$4.70,$71.73,No,,,,,,,,
2C4RC1DG5MR586704,7/21/2022,"11,793",267,Regular,9,$4.66,$41.67,No,,,,,,,,
2C4RC1DG3MR601846,7/1/2022,"9,583",387,Regular,17,$4.57,$79.35,No,,,,,,,,
2C4RC1DG3MR601846,7/11/2022,"9,936",353,Regular,16,$4.80,$75.81,No,,,,,,,,
2C4RC1DG3MR601846,7/14/2022,"10,307",371,Regular,15,$4.80,$71.78,No,,,,,,,,
2C4RC1DG3MR601846,7/19/2022,"10,698",391,Regular,18,$3.80,$68.51,No,,,,,,,,
2C4RC1DG3MR601846,7/22/2022,"11,131",433,Mid-Grade,17,$4.50,$75.61,No,,,,,,,,
1FTYR1ZM1KKB20756,7/19/2022,"23,284",319,Regular,20,$4.70,$96.00,No,,,,,,,,
1FTYR1ZM5KKB34465,7/1/2022,"32,657",283,Regular,19,$4.60,$86.00,No,,,,,,,,
1FTYR1ZM5KKB34465,7/8/2022,"32,887",230,Regular,22,$4.44,$99.00,No,,,,,,,,
1FTYR1ZM5KKB34465,7/13/2022,"33,159",272,Regular,23,$4.30,$98.16,No,,,,,,,,
1FTYR1ZM5KKB34465,7/15/2022,"33,421",262,Regular,22,$4.10,$90.38,No,,,,,,,,
1FTYR1ZM5KKB34465,7/19/2022,"33,591",170,Regular,14,$3.82,$53.94,No,,,,,,,,
1FTYR1ZM5KKB34465,7/19/2022,"33,865",274,Regular,21,$3.80,$77.94,No,,,,,,,,
1N4BL4DV2MN413291,7/8/2022,"12,747",488,Regular,13,$4.35,$57.47,No,,,,,,,,
1N4BL4DV2MN413291,7/18/2022,"13,162",415,Regular,13,$3.97,$52.06,No,,,,,,,,
1N4BL4DV2MN413291,7/22/2022,"13,645",483,Regular,14,$3.67,$49.69,No,,,,,,,,
1N4BL4DV6MN410703,7/5/2022,"5,555",216,Regular,13,$6.20,$80.11,No,,,,,,,,
1N4BL4DV6MN410703,7/12/2022,"5,555",275,Regular,16,$6.16,$101.54,No,,,,,,,,
2C4RC1DG4MR558134,7/5/2022,"7,372",271,Regular,16,$5.08,$83.00,No,,,,,,,,
2C4RC1DG4MR558134,7/11/2022,"7,624",252,Regular,15,$4.95,$75.50,No,,,,,,,,
2C4RC1DG4MR558134,7/18/2022,"7,886",262,Regular,18,$4.77,$84.00,No,,,,,,,,
3C6LRVBG9ME584364,7/1/2022,"8,111",367,Regular,22,$4.40,$96.22,No,,,,,,,,
3C6LRVBG9ME584364,7/12/2022,"8,430",319,Regular,20,$4.28,$85.23,No,,,,,,,,
3C6LRVBG9ME584364,7/14/2022,0,371,Regular,22,$4.25,$93.86,No,,,,,,,,
3C6LRVBG9ME584364,7/19/2022,"9,103",367,Regular,22,$4.16,$90.93,No,,,,,,,,
3C6LRVBG9ME584364,7/21/2022,"9,454",351,Regular,23,$4.17,$96.35,No,,,,,,,,
3C6LRVBG9NE102235,7/1/2022,"13,638",361,Regular,19,$4.86,$94.50,No,,,,,,,,
3C6LRVBG9NE102235,7/12/2022,"13,929",291,Regular,15,$4.42,$67.85,No,,,,,,,,
3C6LRVBG9NE102235,7/14/2022,"14,332",403,Regular,20,$4.30,$85.52,No,,,,,,,,
3C6LRVBG9NE102235,7/18/2022,"14,737",405,Regular,20,$4.80,$94.70,No,,,,,,,,
3C6LRVBG9NE102235,7/21/2022,"15,144",407,Regular,20,$4.18,$83.03,No,,,,,,,,
3C6LRVBG4NE102238,7/1/2022,"11,480",341,Regular,19,$4.50,$87.57,No,,,,,,,,
3C6LRVBG4NE102238,7/11/2022,"11,700",220,Regular,13,$4.36,$57.25,No,,,,,,,,
3C6LRVBG4NE102238,7/15/2022,"12,048",348,Regular,21,$4.25,$87.66,No,,,,,,,,
3C6LRVBG4NE102238,7/19/2022,"12,287",239,Regular,14,$4.40,$63.48,No,,,,,,,,
3C6LRVBG4NE102238,7/22/2022,"12,593",306,Regular,18,$3.95,$69.91,No,,,,,,,,
W1YV0BEY3N3957692,7/1/2022,0,0,Premium,7,$5.46,$37.20,No,,,,,,,,
W1YV0BEY3N3957692,7/6/2022,0,0,Premium,11,$5.23,$57.23,No,,,,,,,,
W1YV0BEY3N3957692,7/7/2022,0,0,Premium,15,$5.13,$77.97,No,,,,,,,,
W1YV0BEY3N3957692,7/8/2022,0,0,Premium,10,$5.13,$48.75,No,,,,,,,,
W1YV0BEY3N3957692,7/11/2022,0,0,Premium,16,$5.10,$81.19,No,,,,,,,,
W1YV0BEY3N3957692,7/15/2022,0,0,Premium,17,$4.96,$86.35,No,,,,,,,,
1N4BL4DV9MN404524,7/8/2022,"10,268",467,Regular,15,$5.00,$72.67,No,,,,,,,,
1N4BL4DV9MN404524,7/14/2022,"10,777",509,Regular,12,$4.70,$57.29,No,,,,,,,,
1N4BL4DV9MN404524,7/20/2022,"11,286",509,Regular,14,$4.90,$67.08,No,,,,,,,,
1FTYR1ZM3KKB21438,7/8/2022,"28,035",383,Regular,21,$4.70,$99.14,No,,,,,,,,
1FTYR1ZM3KKB21438,7/19/2022,"28,364",329,Regular,21,$4.25,$90.62,No,,,,,,,,
1FTYR1ZM3KKB21438,7/21/2022,"28,528",164,Regular,10,$4.18,$41.94,No,,,,,,,,
1FMCU9G60NUA75535,7/5/2022,"5,646",442,Regular,13,$4.80,$62.70,No,,,,,,,,
1FMCU9G60NUA75535,7/12/2022,"6,122",476,Regular,15,$4.66,$67.69,No,,,,,,,,
1FMCU9G60NUA75535,7/18/2022,"6,582",460,Regular,13,$4.70,$60.38,No,,,,,,,,
1FMCU9G60NUA73588,7/18/2022,"2,030",297,Regular,10,$4.42,$45.49,No,,,,,,,,
1FMCU9G63NUA75433,7/5/2022,"50,925",460,Regular,14,$4.83,$70.00,No,,,,,,,,
1FMCU9G63NUA75433,7/11/2022,"5,547",467,Regular,15,$4.62,$67.96,No,,,,,,,,
1FMCU9G63NUA75433,7/15/2022,"6,033",486,Regular,15,$4.54,$68.90,No,,,,,,,,
1FMCU9G63NUA75433,7/20/2022,"6,495",462,Regular,14,$4.46,$64.29,No,,,,,,,,
WD3PF0CD7HP532581,7/1/2022,"145,549",362,Diesel,21,$6.00,$124.76,No,,,,,,,,
WD3PF0CD7HP532581,7/7/2022,"145,859",310,Diesel,18,$5.80,$103.51,No,,,,,,,,
WD3PF0CD7HP532581,7/11/2022,"146,154",295,Diesel,17,$5.80,$100.61,No,,,,,,,,
WD3PF0CD7HP532581,7/15/2022,"146,474",320,Diesel,18,$5.71,$103.97,No,,,,,,,,
WD3PF0CD7HP532581,7/18/2022,"146,718",244,Diesel,15,$5.80,$87.70,No,,,,,,,,
WD3PF0CD7HP532581,7/21/2022,"146,968",250,Diesel,15,$5.80,$88.28,No,,,,,,,,
WD3PE7CD4HP542027,7/5/2022,"111,807",230,Diesel,13,$6.35,$82.03,No,,,,,,,,
WD3PE7CD4HP542027,7/12/2022,"112,122",315,Diesel,15,$6.15,$92.20,No,,,,,,,,
WD3PE7CD4HP542027,7/18/2022,"112,443",321,Diesel,18,$5.50,$97.66,No,,,,,,,,
WD3PE7CD4HP542027,7/19/2022,"112,733",290,Diesel,14,$5.58,$78.08,No,,,,,,,,
WD3PE7CD4HP542027,7/22/2022,"113,036",303,Diesel,14,$5.55,$78.47,No,,,,,,,,
2C4RDGBG1HR568404,7/5/2022,"116,986",324,Premium,13,$5.20,$69.68,No,,,,,,,,
2C4RDGBG1HR568404,7/12/2022,"117,336",350,Premium,15,$5.24,$80.92,No,,,,,,,,
2C4RDGBG1HR568404,7/20/2022,"118,068",393,Premium,16,$4.80,$77.89,No,,,,,,,,
2D8HN11E59R624370,7/11/2022,"91,286",387,Regular,16,$6.20,$100.00,No,,,,,,,,
2D8HN11E59R624370,7/13/2022,"91,582",296,Regular,21,$6.40,$131.56,No,,,,,,,,
2D8HN11E59R624370,7/18/2022,"91,779",237,Regular,12,$6.40,$75.92,No,,,,,,,,
2D8HN11E59R624370,7/22/2022,"92,146",367,Regular,20,$6.10,$121.61,No,,,,,,,,
2D8HN11E59R643551,7/1/2022,"76,136",304,Regular,18,$4.35,$77.17,No,,,,,,,,
2C4RDGBG3HR651848,7/7/2022,"123,777",396,Regular,19,$4.32,$81.22,No,,,,,,,,
2C4RDGBG5HR651849,7/6/2022,"68,260",469,Regular,19,$4.40,$83.75,No,,,,,,,,
2C4RDGBG5HR651849,7/20/2022,"68,680",420,Regular,19,$3.84,$74.59,No,,,,,,,,
1FDWE3FLXGDC16838,7/5/2022,"85,719",320,Regular,26,$4.76,$125.70,No,,,,,,,,
1FDWE3FLXGDC16838,7/7/2022,"86,007",288,Regular,23,$4.70,$108.76,No,,,,,,,,
1FDWE3FLXGDC16838,7/12/2022,"86,292",285,Regular,24,$4.55,$109.24,No,,,,,,,,
1FDWE3FLXGDC16838,7/14/2022,"86,540",248,Regular,21,$4.43,$92.00,No,,,,,,,,
1FDWE3FLXGDC16838,7/19/2022,"86,794",254,Regular,21,$4.37,$92.18,No,,,,,,,,
1FDWE3FLXGDC16838,7/21/2022,"87,080",286,Regular,23,$4.27,$98.63,No,,,,,,,,
1N6BF0KY1GN800374,7/8/2022,"143,368",276,Regular,18,$4.70,$84.60,No,,,,,,,,
1N6BF0KY1GN800374,7/14/2022,"143,738",81,Regular,6,$4.44,$25.00,No,,,,,,,,
1N6BF0KY1GN800374,7/15/2022,"143,796",310,Regular,21,$4.49,$95.93,No,,,,,,,,
